class,nfi_code,common_name,scientific_name,value2,notes
0,Non treed,Non treed,Non treed,0,
1,ABIE.AMA,Amabilis fir,Abies amabilis,1,
2,ABIE.BAL,Balsam fir,Abies balsamea,1,
3,ABIE.LAS,Subalpine fir,Abies lasiocarpa,1,
4,ACER.MAC,Bigleaf maple,Acer macrophyllum,2,
5,ACER.RUB,Red maple,Acer rubrum,2,
6,ACER.SAH,Sugar maple,Acer saccharum,2,
7,ALNU.INC,Gray alder,Alnus incana,2,
8,ALNU.RUB,Red alder,Alnus rubra,2,
9,BETU.ALL,Yellow birch,Betula alleghaniensis,2,
10,BETU.PAP,White birch,Betula papyrifera,2,
11,CHAM.NOO,Yellow-cedar ,Chamaecyparis nootkatensis,1,
12,FRAX.NIG,Black ash,Fraxinus nigra,2,
13,LARI.LAR,Tamarack ,Larix laricina,1,mixed?
14,LARI.OCC,Western larch,Larix occidentalis,1,mixed?
15,PICE.ABI,Norway spruce,Picea abies,1,
16,PICE.ENG,Engelmann spruce,Picea engelmannii,1,
17,PICE.GLA,White spruce,Picea glauca,1,
18,PICE.MAR,Black spruce,Picea mariana,1,
19,PICE.RUB,Red spruce,Picea rubens,1,
20,PICE.SIT,Sitka spruce,Picea sitchensis,1,
21,PINU.ALB,Whitebark pine,Pinus albicaulis,1,
22,PINU.BAN,Jack pine,Pinus banksiana,1,
23,PINU.CON,Lodgepole pine,Pinus contorta,1,
24,PINU.PON,Ponderosa pine,Pinus ponderosa,1,
25,PINU.RES,Red pine,Pinus resinosa,1,
26,PINU.STR,Eastern white pine,Pinus strobus,1,
27,POPU.BAL,Balsam poplar,Populus balsamifera,2,
28,POPU.GRA,Largetooth aspen,Populus grandidentata,2,
29,POPU.TRE,Trembling aspen,Populus tremuloides,2,
30,PSEU.MEN,Douglas-fir ,Pseudotsuga menziesii,1,
31,QUER.RUB,Red oak,Quercus rubra,2,
32,THUJ.OCC,Eastern white-cedar,Thuja occidentalis,1,
33,THUJ.PLI,Western redcedar,Thuja plicata,1,
34,TSUG.CAN,Eastern hemlock,Tsuga canadensis,1,
35,TSUG.HET,Western hemlock,Tsuga heterophylla,1,
36,TSUG.MER,Mountain hemlock,Tsuga mertensiana,1,
37,ULMU.AME,White elm,Ulmus americana,2,
